,track_id,artist,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
453,4pGqFOfzvfe6avb9kbZicC,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",0.695,0.615,7.0,-5.325,0.0,0.042,0.15,0.000212,0.0879,0.414,124.015
454,3SUusuA9jH1v6PVwtYMbdv,The Strokes,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.624,0.899,0.0,-5.709,1.0,0.0296,0.0221,0.000137,0.0975,0.79,104.061
455,2bfGNzdiRa1jXZRdfssSzR,Gorillaz,['alternative hip hop'],0.625,0.877,10.0,-7.176,0.0,0.162,0.0315,0.0811,0.672,0.865,192.296
456,0eEgMbSzOHmkOeVuNC3E0k,Gorillaz,['alternative hip hop'],0.838,0.475,4.0,-5.505,0.0,0.036,0.000417,0.714,0.226,0.711,106.217
457,4hNPMfFHauPIbOKvdYqFt7,Gorillaz,['alternative hip hop'],0.672,0.768,0.0,-7.718,1.0,0.0347,0.00201,0.905,0.136,0.858,122.583
458,0Y2SrByf4G3kbq2nBEHQRn,Norman Greenbaum,['classic rock'],0.601,0.643,2.0,-5.828,1.0,0.0314,0.112,0.00209,0.088,0.552,128.262
459,2E9wKgL8NN7Tvydqcjoh7v,John Lennon,"['album rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock']",0.624,0.931,11.0,-9.988,0.0,0.116,0.000899,0.00144,0.0631,0.141,119.887
460,5mdDzJBkQ7Gz7ePDCB397w,Elizabeth Mitchell,"[""children's folk"", ""children's music""]",0.487,0.223,0.0,-17.7,0.0,0.367,0.96,0.00711,0.121,0.641,175.357
461,0xSF7iHZQxaZYMAiBfobms,Gorillaz,['alternative hip hop'],0.664,0.576,10.0,-7.009,0.0,0.0368,0.0056,0.019,0.438,0.216,91.977
462,4M88Wd7Aps5LGRWMOC7gSH,Gorillaz,['alternative hip hop'],0.769,0.75,10.0,-5.092,1.0,0.0304,0.115,0.0208,0.0909,0.942,97.229
463,0WNGPpmWqzPnk0psUhJ3SX,Mott The Hoople,"['album rock', 'art rock', 'blues rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'hard rock', 'power pop', 'protopunk', 'pub rock']",0.429,0.668,4.0,-7.539,0.0,0.044,0.208,0.0,0.538,0.398,77.737
464,3T76zPJz3tWL27FrjJe2ot,Jack White,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",0.381,0.838,6.0,-6.562,0.0,0.0709,0.0046,3.77e-05,0.101,0.581,118.214
465,5hSWVcAtSK8PUoLr8eomMG,Jack White,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",0.512,0.558,0.0,-8.925,1.0,0.0652,0.448,0.02,0.105,0.511,119.518
466,2bItWLPlRV0k38WVcNrLUS,Jack White,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",0.38,0.395,7.0,-12.695,1.0,0.0388,0.541,0.0216,0.0852,0.576,152.081
467,5UnqU47OSB8LBahj0jtjrR,Jack White,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",0.541,0.772,7.0,-3.874,1.0,0.136,0.0382,8.48e-05,0.0796,0.43,71.201
468,4LnDH5fqMi97NCPZYzdToF,Lana Del Rey,"['art pop', 'pop']",0.32,0.419,11.0,-8.885,0.0,0.0371,0.268,2.49e-05,0.0989,0.157,115.016
469,4VrWlk8IQxevMvERoX08iC,Sia,"['australian dance', 'australian pop', 'dance pop', 'pop']",0.399,0.787,1.0,-2.88,1.0,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089
470,0XFZeItaZHlOOYgWSdh8O7,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",0.615,0.931,3.0,-7.8,1.0,0.24,0.0352,2.37e-05,0.0914,0.53,137.544
471,57Xjny5yNzAcsxnusKmAfA,The Strokes,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.489,0.649,9.0,-5.11,1.0,0.0336,0.000603,0.713,0.101,0.77,158.009
472,4fPBB44eDH71YohayI4eKV,The Strokes,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.63,0.908,11.0,-2.42,1.0,0.0326,0.0238,0.592,0.116,0.968,120.522
473,3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.544,0.241,4.0,-14.779,0.0,0.03,0.983,0.774,0.101,0.359,109.437
474,6u0x5ad9ewHvs3z6u9Oe3c,The Strokes,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.35,0.775,11.0,-3.364,1.0,0.054,0.00433,0.283,0.0676,0.588,199.866
475,7DfFc7a6Rwfi3YQMRbDMau,Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul']",0.721,0.339,0.0,-11.195,1.0,0.0532,0.409,0.00153,0.0973,0.2,129.83
476,6qZjm61s6u8Ead9sWxCDro,Tame Impala,"['australian psych', 'neo-psychedelic']",0.598,0.553,9.0,-6.742,0.0,0.0397,0.562,0.157,0.257,0.533,123.075
477,3ZeD6bGAkD3VKg8BFWWoZt,Tame Impala,"['australian psych', 'neo-psychedelic']",0.334,0.556,0.0,-5.799,1.0,0.0349,0.826,0.572,0.301,0.505,121.334
478,513f9AAWE8jFlddJxoqK51,Tame Impala,"['australian psych', 'neo-psychedelic']",0.558,0.404,2.0,-13.303,0.0,0.0368,0.318,7.05e-05,0.36,0.382,113.445
479,6lrDckuosGpwEHtm1hHBcf,Gorillaz,['alternative hip hop'],0.702,0.567,7.0,-8.561,1.0,0.239,0.0815,2.75e-05,0.0864,0.667,84.153
480,3Opd2DDHK2buTxZOWG7G5b,Dulce Pontes,['fado'],0.436,0.486,4.0,-10.484,0.0,0.0382,0.0784,0.000112,0.16,0.0488,119.84
481,0acQgAidYiiSWQrPZHHkzo,Seals and Crofts,"['adult standards', 'album rock', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']",0.49,0.581,5.0,-6.566,1.0,0.0388,0.553,0.0177,0.0764,0.318,88.718
482,0h87GbMRuU8ENP8LmdeA22,Beyoncé,"['dance pop', 'pop', 'r&b']",0.26,0.26,5.0,-10.669,1.0,0.0329,0.666,0.00447,0.175,0.318,172.655
483,70QOyYsKIrZg8fUkOlyRKI,Etta James,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",0.258,0.351,3.0,-9.148,1.0,0.0307,0.716,0.0,0.228,0.449,177.541
484,0U4tIVmphB1QBqPHEIcVJr,Red Norvo Trio,[],0.639,0.158,9.0,-17.391,0.0,0.052,0.982,0.89,0.108,0.234,80.357
485,2mpFm3f7QmdsVtSAIICEB7,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.609,0.588,7.0,-7.992,1.0,0.481,0.0305,0.000142,0.369,0.797,128.763
486,3poy9iguwndRBiuNZTAaPF,Dooley Wilson,[],0.364,0.174,1.0,-18.838,1.0,0.0525,0.962,0.000175,0.373,0.48,81.211
487,5bGd0OxvxZSATIf2eEkmTD,Bon Iver,"['eau claire indie', 'indie folk', 'melancholia']",0.381,0.306,1.0,-14.489,1.0,0.0303,0.943,0.323,0.125,0.156,147.87
488,6zJms3MX11Qu1IKF44LoRW,Regina Spektor,"['indie pop', 'lilith', 'piano rock']",0.217,0.305,1.0,-9.495,1.0,0.0321,0.885,0.00271,0.201,0.12,82.848
489,3hMeLjX7z3VCZVsJYJ9Ar8,Regina Spektor,"['indie pop', 'lilith', 'piano rock']",0.889,0.581,9.0,-7.775,1.0,0.041,0.241,0.00119,0.104,0.723,136.013
490,1nd9moIZkGvWoHtReFqkRY,Etta James,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",0.165,0.29,5.0,-9.881,1.0,0.0316,0.701,0.00113,0.286,0.241,174.61
491,1IRZwD3r9VOehOR8rGeV3Y,Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",0.647,0.805,4.0,-6.269,0.0,0.0279,0.00789,0.00211,0.168,0.707,114.638
492,2SHtP0auCWMCVTtxiO7t6G,Timmy Trumpet,"['australian dance', 'big room', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance']",0.886,0.967,4.0,-0.776,1.0,0.142,0.0157,0.389,0.239,0.745,128.1
493,6REiraH7Pe3akd0mkFA4l9,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",0.228,0.856,2.0,-5.296,1.0,0.0541,0.000124,5.66e-05,0.285,0.427,186.969
494,2sGSId790ABFzGXx9VEdwl,Eminem,"['detroit hip hop', 'hip hop', 'rap']",0.671,0.852,7.0,-3.315,1.0,0.272,0.137,0.0,0.311,0.325,87.027
495,4xkOaSrkexMciUUogZKVTS,Eminem,"['detroit hip hop', 'hip hop', 'rap']",0.548,0.847,1.0,-3.237,1.0,0.186,0.0622,0.0,0.0816,0.1,171.447
496,6vvmYYUvGXtZLU8msxKvzF,Ramones,"['classic rock', 'early us punk', 'permanent wave', 'punk', 'rock', 'skate punk']",0.597,0.96,11.0,-3.989,1.0,0.042,0.169,2.89e-05,0.105,0.937,163.017
497,4iEOVEULZRvmzYSZY2ViKN,alt-J,"['indie rock', 'modern rock']",0.697,0.877,3.0,-4.465,1.0,0.0462,0.462,0.00943,0.083,0.802,101.99
498,6qspW4YKycviDFjHBOaqUY,TLC,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip hop', 'hip pop', 'r&b', 'urban contemporary']",0.769,0.505,1.0,-7.345,1.0,0.0829,0.311,7.49e-05,0.0777,0.757,171.804
499,0fFCTYF5QEU3K1R4HKfmiE,Tears For Fears,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']",0.605,0.742,4.0,-7.031,0.0,0.0246,0.521,0.000946,0.15,0.619,95.168
500,7Bt36rJMdiN8edxCEO3KWw,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.466,0.747,4.0,-4.838,0.0,0.0795,0.417,9.76e-06,0.107,0.43,92.161
